SKU Code,Design No.,Stock,Category,Size,Color,Color_clean,Category_clean,Category_group,Stock_per_Category,Color_Popularity,Size_Popularity,Design No._enc,Category_group_enc,Color_clean_enc,Size_enc
BL061-75BLACK,BL061,488.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.017681800065219754,0.07108186819113364,0.024053500161794843,53,4,1,3
#REF!,BL061,0.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.0,0.07108186819113364,0.024053500161794843,53,4,1,3
BL073-85BLACK,BL073,48.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.0017391934490380086,0.07108186819113364,0.024053500161794843,54,4,1,3
BL074-85RED,BL074,17.0,Blouse,FREE SIZE,Red,Red,Blouse,Western-Topwear,0.0006159643465342947,0.10009707690648258,0.024053500161794843,55,4,14,3
BL075-85CHIKU,BL075,7.0,Blouse,FREE SIZE,Chiku,Brown,Blouse,Western-Topwear,0.0002536323779847096,0.024161363391219933,0.024053500161794843,56,4,3,3
BL076-86BLACK,BL076,21.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.0007608971339541288,0.07108186819113364,0.024053500161794843,57,4,1,3
BL077-86RED,BL077,8.0,Blouse,FREE SIZE,Red,Red,Blouse,Western-Topwear,0.0002898655748396681,0.10009707690648258,0.024053500161794843,58,4,14,3
BL078-87BLACK,BL078,18.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.0006521975433892533,0.07108186819113364,0.024053500161794843,59,4,1,3
BL079-87RED,BL079,12.0,Blouse,FREE SIZE,Red,Red,Blouse,Western-Topwear,0.00043479836225950215,0.10009707690648258,0.024053500161794843,60,4,14,3
BL080-88BLACK,BL080,12.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.00043479836225950215,0.07108186819113364,0.024053500161794843,61,4,1,3
BL081-88PINK,BL081,30.0,Blouse,FREE SIZE,Pink,Pink,Blouse,Western-Topwear,0.0010869959056487553,0.13720202782871319,0.024053500161794843,62,4,12,3
BL082-88CHIKU,BL082,9.0,Blouse,FREE SIZE,Beige,Beige,Blouse,Western-Topwear,0.00032609877169462664,0.022543414949843597,0.024053500161794843,63,4,0,3
BL083-186GOLD,BL083,16.0,Blouse,FREE SIZE,Gold,Yellow,Blouse,Western-Topwear,0.0005797311496793362,0.08639844676949628,0.024053500161794843,64,4,18,3
BL084-187GOLD,BL084,11.0,Blouse,FREE SIZE,Gold,Yellow,Blouse,Western-Topwear,0.00039856516540454366,0.08639844676949628,0.024053500161794843,65,4,18,3
BL085-L,BL085,24.0,Blouse,L,Orange,Orange,Blouse,Western-Topwear,0.0008695967245190043,0.02869161902707367,0.1439974112824938,66,4,11,4
BL085-M,BL085,15.0,Blouse,M,Orange,Orange,Blouse,Western-Topwear,0.0005434979528243777,0.02869161902707367,0.1447524538884694,66,4,11,5
BL085-S,BL085,12.0,Blouse,S,Orange,Orange,Blouse,Western-Topwear,0.00043479836225950215,0.02869161902707367,0.1459389494121454,66,4,11,6
BL085-XL,BL085,13.0,Blouse,XL,Orange,Orange,Blouse,Western-Topwear,0.0004710315591144607,0.02869161902707367,0.14453672742961923,66,4,11,8
BL085-XS,BL085,6.0,Blouse,XS,Orange,Orange,Blouse,Western-Topwear,0.00021739918112975107,0.02869161902707367,0.12026750080897422,66,4,11,9
BL085-XXL,BL085,11.0,Blouse,XXL,Orange,Orange,Blouse,Western-Topwear,0.00039856516540454366,0.02869161902707367,0.14432100097076905,66,4,11,10
,BL086,1.0,Blouse,FREE SIZE,Blue,Blue,Blouse,Western-Topwear,3.623319685495851e-05,0.17063962895049078,0.024053500161794843,67,4,2,3
BL086-L,BL086,4.0,Blouse,L,Blue,Blue,Blouse,Western-Topwear,0.00014493278741983405,0.17063962895049078,0.1439974112824938,67,4,2,4
BL086-M,BL086,5.0,Blouse,M,Blue,Blue,Blouse,Western-Topwear,0.00018116598427479256,0.17063962895049078,0.1447524538884694,67,4,2,5
BL086-S,BL086,2.0,Blouse,S,Blue,Blue,Blouse,Western-Topwear,7.246639370991702e-05,0.17063962895049078,0.1459389494121454,67,4,2,6
BL086-XL,BL086,5.0,Blouse,XL,Blue,Blue,Blouse,Western-Topwear,0.00018116598427479256,0.17063962895049078,0.14453672742961923,67,4,2,8
BL086-XS,BL086,8.0,Blouse,XS,Blue,Blue,Blouse,Western-Topwear,0.0002898655748396681,0.17063962895049078,0.12026750080897422,67,4,2,9
BL086-XXL,BL086,3.0,Blouse,XXL,Blue,Blue,Blouse,Western-Topwear,0.00010869959056487554,0.17063962895049078,0.14432100097076905,67,4,2,10
,BL087,0.0,Blouse,FREE SIZE,Multicolor,Multicolor,Blouse,Western-Topwear,0.0,0.022004098802718152,0.024053500161794843,68,4,8,3
BL087-L,BL087,48.0,Blouse,L,Multicolor,Multicolor,Blouse,Western-Topwear,0.0017391934490380086,0.022004098802718152,0.1439974112824938,68,4,8,4
BL087-M,BL087,89.0,Blouse,M,Multicolor,Multicolor,Blouse,Western-Topwear,0.0032247545200913075,0.022004098802718152,0.1447524538884694,68,4,8,5
BL087-S,BL087,11.0,Blouse,S,Multicolor,Multicolor,Blouse,Western-Topwear,0.00039856516540454366,0.022004098802718152,0.1459389494121454,68,4,8,6
BL087-XL,BL087,5.0,Blouse,XL,Multicolor,Multicolor,Blouse,Western-Topwear,0.00018116598427479256,0.022004098802718152,0.14453672742961923,68,4,8,8
